text,label
It isn't perfect but i love it. the app is simple to use.,positive
Would not recommend. Genuinely the sound crackles at low volume. Asked for a refund.,negative
The price is the only good thing. the sound crackles at low volume.,negative
Works beautifully. Really the sound is surprisingly good. Very pleased.,positive
My wife uses it more than I do. Hardly any complaints. the camera is sharp even at night.,positive
Second one I have owned. So glad I bought it. the buil quality feels solid. Would buy it again tomorrow.,positive
Bought it last month. Works beautifully. Honestly the sound is surprisingly good. Recommend it without hesitation.,positive
Absolutely love this — setup took wo minutes :D,positive
Better than I expected. Genuinely the build quality feels solid. Exactly as described.,positive
So glad I bought it. the sound is surprisingly good. Happy to recommend this one.,positive
Second one I have owned. Do not buy this. Genuinely delivery took three weeks. I cannot recommend it.,negative
It fits perfectly and the battery lasts all day. Great value.,positive
Exactly what I needed. Seriously delivery arrived a day early. Would buy it again tomorrow.,positive
Broke within a week — the app crashes on ever launch :/,negative
Very disappointed. Honestly setup as a nightmare. Avoid.,negative
"Setup was a nightmare, but the battery lasts all day. Exactly as described.",positive
The build quality feels solid and support replied within an hour. Recommend it without hesitation.,positive
Delighted with this one. Genuinely the battery lasts all day. Great value.,positive
"Setup was a nightmare, but the app is simple to use. Happy to recommend this one.",positive
THE STAND IS NOISY AND THE BATTERY DIES IN TWO HOURS. HARD TORECOMMEND AT THIS PRICE.,negative
The fan is sturdy and setup took two minutes. Happy to recommend this one.,negative
Hardly any complaints. the camera is sharp even at night.,positive
Second one I have owned. Absolutely love this — charging is fast :D,positive
Setup took two minutes and it is light and easy to carry. Highl recommended.,positive
Not worth it. setup was a nightmare.,negative
"The speaker is solid, but the battery is flimsy. Zero out of ten.",negative
"It is light and easy to carry, but the plastic feels cheap. Never again.",negative
Ordered during the sale. The sound crackles at low volume and the app crashes on every launch. Would not buy it again.,negative
Really happy with it. Seriously it is light and easy to carry. Will buy again.,positive
Bought it last month. The price is the only good thing. it is far too heavy.,negative
"Delivery took three weeks, but support replied within an hour. Would buy it again tomorrow.",positive
Used it daily for two weeks. One star. setup was a nightmare. I cannot recommend it.,negative
Regret this purchase. Really it overheats while charging. Zero out of ten.,negative
"Setup took two minutes, but it is far too heavy. Very poor value.",negative
"Charging is fast, but the camera is lurry indoors. I cannot recommend it.",negative
Five stars. Genuinely support replied within an hour. Will buy again.,positive
The screen is bright and sharp and support replied within an hour. No complaints at all.,positive
The battery dies in two hours and the battery dies in two hours. Deeply unimpressed.,negative
The screen is dim and it overheats while charging. Avoid.,negative
Used it daily for two weeks. The battery dies in two hours and the camera is blurry indoors. Zero out of ten.,negative
IT ISN'T PERFECT BUT I OVE IT. THE SCREEN IS BRIGHT AND SHARP.,positive
Terrible experience — the battery dies in two hours :/,negative
Arrived in the original packaging. Regret this purchase. Honestly the screen has dead pixels. Very poor value.,negative
Arrived in the original packaging. Five stars. the sound is surprisingly good. Great value.,positive
The price is the only gooood thing. the screen has dead pixels.,negative
The battery dies in two hours and the battery dies in two hours. I cannot recommend it.,negative
Broke within a week. the app crashes on every launch. Would not buy it again.,negative
It is far too heavy and setup was a nightmare. I cannot recommend it.,negative
Not worth it. setup was a nightmare.,negative
Broke within a week. Absolutely the battery dies in two hours. Avoid.,negative
"Good idea, terrible execution. support never replied.",negative
"The case is solid, but the packaging is flimsy. Hard to recommend at this price.",negative
The screen has dead pixels and the app crashes on every launch. Deeply unimpressed.,negative
Really happy with it. Seriously suport replied within an hour. Would buy it again tomorrow.,positive
"Support never replied, but the battery lasts all day. Exactly as described.",positive
Complete waste of money. Honestly it is far too heavy. I cannot recommend it.,negative
Do not buy this. Seriously setup was a nightmare. Deeply unimpressed.,negative
Terrible experience. Seriously the plastic feels cheap. Deeply unimpressed.,negative
Bought it last month. Worth every rupee. Really support replied within an hour. I would recommend it to anyone.,positive
The build quality feels solid and charging is fast. Happy to recommend this one.,positive
Comparing it with my old one. Regret this purchase. Honestly it does not fit at all. Would not buy it again.,negative
"Support replied within an hour, but it is far too heavy. Zero out of ten.",negative
It is far too heavy and it does not fit at all. Hard to recommend at this price.,negative
Hardly any complaints. the app is simple to use.,positive
Second one I have owned. Delighted with this one. Genuinely the camera is sharp even at night. No complaints at all.,positive
The camera is useless and the plastic feels cheap. Zero out of ten.,negative
Doesn't disappoint. setup took two minutes.,positive
Very disappointed. Absolutely support never replied. I canno recommend it.,negative
"Delivery arrived a day early, but the screen has dead pixels. Ver poor value.",negative
"Used it daily for two weeks. Support never replied, but the battery lasts all day. Highly recommended.",positive
Used it daily for two weeks. Never had an issue. it fits perfectly.,positive
The plastic feels cheap and it overheats while charging. Hard to recommend at this price.,negative
Save your money. Really the screenhas dead pixels. Avoid.,negative
Five stars. Really the build quality feels solid. Ten out of ten.,positive
The build quality feels solid and the camera is sharp even at night. Would buy it again tomorrow.,positive
The battery dies in two hours and the camera is blurry indoors. Hard to recommend at this price.,negative
DO NOT BUY THIS. SERIOUSLY THE APP CRASHES ON EVERY LAUNCH. WOULD NOT BUY IT AGAIN.,negative
Absolutely love this. Seriously support replied within an hour. Will buy again.,positive
"The charger is handy, but the case is faulty. Very poor value.",negative
Worth every rupee. Really the sound is surprisingly good. Recommend it without hesitation.,positive
"The app crashes on every launch, but the camera is sharp even at night. Very pleased.",positive
Works beautifully. Absolutely the sound is surprisingly good. No complaints at all.,positive
Ordered during the sale. Really happy with it — the build quality feels solid :D,positive
"The sound crackles at low volume, but delivery arrived a day early. Would buy it again tomorrow.",positive
"Setup took two minutes, but the camera is blurry indoors. Hard to recommend at this price.",negative
The price is the only gooood thing. it overheats while charging.,negative
It overheats while charging and setup was a nightmare. Zero out of ten.,negative
Second one I have owned. It overheats while charging and it overheats while charging. Avoid.,negative
Ordered during the sale. The screen has dead pixels and it does not fit at all. Never again.,negative
My wife uses it more than I do. I wanted to love this. it is far too heavy.,negative
Not as described. support never replied.,negative
"My wife uses it more than I do. Not bad at all, actually. it is light and easy to carry.",positive
Works beautifully. Absolutely the screen is bright andsharp. Exactly as described.,positive
"Support replied within an hour, but setup was a nightmare. Avoid.",negative
"THE KEYBOARD IS UNRELIABLE, BUT THE PACKAGING IS SMOOTH. WOULD BUY IT AGAIN TOMORROW.",positive
"Good idea, terrible execution. the plastic feels cheap.",negative
The price is the only gooood thing. the screen has dead pixels.,negative
"Second one I have owned. Not bad at all, actually. the screen is bright and sharp.",positive
"Ordered during the sale. It is far too heavy, but support replied within an hour. Highly recommended.",positive
Does not do what it promises. setup was a nightmare.,negative
"Support replied within an hur, but it overheats while charging. Avoid.",negative
The app is simple to use and the camera is sharp even at night. Recommend it without hesitation.,positive
The app crashes on every launch and it is far too heavy. Zero out of ten.,negative
Second one I have owned. Terrible experience. Seriously setup was a nightmare. Very poor value.,negative
Delivery took three weeks and it overheats while charging. Never again.,negative
Bought it last month. Doesn't disappoint. the app is simple to use.,positive
Would not recommend. support never replied. Hard to recommend at this price.,negative
THE SPEAKER IS ROUGH AND THE BATTERY DIES IN TWO HOURS. DEEPLY UNIMPRESSED.,negative
Very disappointed. Really it overheats while charging. Asked for a refund.,negative
My wife uses it more than I do. Do not buy this. Honestly the plastic feels cheap. Not worth the price.,negative
The battery lasts all day and delivery arrived a day early. Exactly as described.,positive
The camera is blurry indoors and the camera is blurry indoors. Not worth the price.,negative
Delivery took three weeks and support never replied. Hard to recommend at this price.,positive
It fits perfectly and charging is fast. Highly recommended.,positive
USED IT DAILY FOR TWO WEEKS. IT FITS PERFECTLY AND SUPPORT REPLIED WITHIN AN HOUR. WOULD BUY IT AGAIN TOMORROW.,positive
"The app crashes on every launch, but the battery lasts all day. Exactly as described.",positive
"It overheats while charging, but the app is simple to use. Would buy it again tomorrow.",positive
One star — delivery took three weeks :(,negative
Very disappointed. Really it is far too heavy. Never again.,negative
Bought it last month. Not worth it. it overheats while charging.,negative
"Used it daily for two weeks. Good idea, terrible execution. the screen has dead pixels.",negative
"Not bad at all, actually. the build qulity feels solid.",positive
"The sound crackles at low volume, but it fits perfectly. Will buy again.",positive
I wanted to love this. the plastic feels cheap.,negative
Terrible experience — it is far too heavy :(,negative
The build quality feels solid and charging is fast. Great value.,positive
The keyboard is quick and it fits perfectly. Very pleased.,positive
"The camera is blurry indoors, but the sound is surprisingly good. Very pleased.",positive
Arrived in the original packaging. It isn't perfect but i love it. the camera is sharp even at night.,positive
"The camera is blurry indoors, but charging is fast. Great value.",positive
One star. Absolutely the camera is blurry indoors. Asked for a refund.,negative
Used it daily for two weeks. Best purchase this year. Really it fits perfectly. Would buy it again tomorrow.,positive
Absolutely love this — the sound is surprisingly good :D,positive
My wife uses it more than I do. Would not recommend — setup was a nightmare :/,negative
Used it daily for two weeks. The camera is blurry indoors and the battery dies in two hours. Avoid.,negative
The button is unreliable and the screen has dead pixels. Avoid.,negative
Save your money. Genuinely the camera is blurry indoors. Never again.,negative
Really happy with it. Absolutely the camera is sharp even at night. Would buy it again tomorrow.,positive
"The sound crackles at low volume, but the battery lasts all day. Highly recommended.",positive
Used it daily for two weeks. The build quality feels solid and support replied within an hour. Exactly as described.,positive
My wife uses it more than I do. It overheats while charging and delivery took three weeks. Hard to recommend at this price.,negative
Best purchase this year. Honestly it fits perfectly. Recommend it witout hesitation.,positive
NEVER HAD AN ISSUE. THE BUILD QUALITY FEELS SOLID.,positive
The app is responsive and it is light and easy to carry. Very pleased.,positive
Second one I have owned. Five stars. Genuinely it fits perfectly. Very pleased.,positive
Used it daily for two weeks. Five stars. Seriously charging is fast. Ten out of ten.,positive
"The battery dies in two hours, but it fits perfectly. I would recommend it to anyone.",positive
"The charger is clunky, but the finish is quiet. Ten out of ten.",negative
